location,worldbankregion,pop
Sao Tome and Principe,Sub-Saharan Africa,215048
Saudi Arabia,Middle East and North Africa,34268529
Senegal,Sub-Saharan Africa,16296362
Serbia,Europe and Central Asia,6945235
Seychelles,Sub-Saharan Africa,97625
Sierra Leone,Sub-Saharan Africa,7813207
Singapore,East Asia and Pacific,5703569
Slovakia,Europe and Central Asia,5454147
Slovenia,Europe and Central Asia,2088385
Solomon Islands,East Asia and Pacific,669821
Somalia,Sub-Saharan Africa,15442906
South Africa,Sub-Saharan Africa,58558267
South Sudan,Sub-Saharan Africa,11062114
Spain,Europe and Central Asia,47133521
Sri Lanka,South Asia,21803000
Sudan,Sub-Saharan Africa,42813237
Suriname,Latin America and Caribbean,581363
Sweden,Europe and Central Asia,10278887
Switzerland,Europe and Central Asia,8575280
Syrian Arab Republic,Middle East and North Africa,17070132
Taiwan (Province of China),East Asia and Pacific,"23,600,000"
Tajikistan,Europe and Central Asia,9321023
Thailand,East Asia and Pacific,69625581
Timor-Leste,East Asia and Pacific,1293120
Togo,Sub-Saharan Africa,8082359
Tokelau,East Asia and Pacific,1340
Tonga,East Asia and Pacific,104497
Trinidad and Tobago,Latin America and Caribbean,1394969
Tunisia,Middle East and North Africa,11694721
Turkey,Europe and Central Asia,83429607
Turkmenistan,Europe and Central Asia,5942094
Tuvalu,East Asia and Pacific,11655
Uganda,Sub-Saharan Africa,44269587
Ukraine,Europe and Central Asia,44386203
United Arab Emirates,Middle East and North Africa,9770526
United Kingdom,Europe and Central Asia,66836327
United Republic of Tanzania,Sub-Saharan Africa,58005461
United States of America,North America,328329953
United States Virgin Islands,Latin America and Caribbean,106669
Uruguay,Latin America and Caribbean,3461731
Uzbekistan,Europe and Central Asia,33580350
Vanuatu,East Asia and Pacific,299882
Venezuela (Bolivarian Republic of),Latin America and Caribbean,28515829
Viet Nam,East Asia and Pacific,96462108
Yemen,Middle East and North Africa,29161922
Zambia,Sub-Saharan Africa,17861034
Zimbabwe,Sub-Saharan Africa,14645473
